episode,reward,duration,qstep
132,-200.0,200,-122.82027538656001
133,-200.0,200,-125.78237182392193
134,-200.0,200,-112.47889209044294
135,-200.0,200,-122.17949141562612
136,-200.0,200,-120.15744652496122
137,-200.0,200,-126.09461570599059
138,-200.0,200,-118.675339940374
139,-200.0,200,-139.1143191543975
140,-200.0,200,-123.1653469757237
141,-200.0,200,-133.3160150626134
142,-200.0,200,-139.42010870079986
143,-200.0,200,-114.49549650664395
144,-200.0,200,-123.74474360295248
145,-200.0,200,-136.84020577079806
146,-200.0,200,-99.8966126566601
147,-200.0,200,-129.78620228487586
148,-200.0,200,-122.84875211354957
149,-200.0,200,-111.10206196416618
150,-200.0,200,-129.59134108980584
151,-200.0,200,-137.76630987169924
152,-186.0,186,-130.88371103413797
153,-200.0,200,-108.15393268843981
154,-200.0,200,-144.53496556755067
155,-200.0,200,-107.07879343957876
156,-200.0,200,-134.1499713212051
157,-171.0,171,-103.60414360891154
158,-200.0,200,-105.67490253650575
159,-200.0,200,-120.58318933905484
160,-200.0,200,-125.23643040773749
161,-200.0,200,-114.70867801252645
162,-200.0,200,-112.64599441865126
163,-200.0,200,-125.37603630850664
164,-200.0,200,-106.20638337705569
165,-200.0,200,-140.8389749383379
166,-200.0,200,-107.51921044180388
167,-200.0,200,-121.77898455788291
168,-197.0,197,-99.48245789774955
169,-200.0,200,-112.16900819883958
170,-200.0,200,-122.65272830305358
171,-200.0,200,-126.72787764971858
172,-200.0,200,-128.8356193487358
173,-200.0,200,-131.178534979198
174,-200.0,200,-122.51857018183746
175,-200.0,200,-109.08918748864839
176,-200.0,200,-134.9362061336836
177,-200.0,200,-98.41164614897505
178,-200.0,200,-136.18173778700324
179,-200.0,200,-114.4232363583734
180,-200.0,200,-130.56715914719183
181,-200.0,200,-98.28125477236213
182,-200.0,200,-97.67382380951042
183,-200.0,200,-128.58120530335063
184,-200.0,200,-130.0200706444993
185,-199.0,199,-116.96402957665276
186,-200.0,200,-135.9263909264689
187,-200.0,200,-115.1218121329839
188,-192.0,192,-104.08759854426674
189,-200.0,200,-138.44268188306947
190,-200.0,200,-154.50431085516266
191,-163.0,163,-103.16954161077942
192,-200.0,200,-120.89020756811605
193,-200.0,200,-114.36085096241627
194,-193.0,193,-108.64165305848145
195,-197.0,197,-123.32367118894926
196,-156.0,156,-64.76095302038766
197,-200.0,200,-102.2053808835668
198,-200.0,200,-124.56030602500338
199,-200.0,200,-112.33798845384227
200,-200.0,200,-119.91397347363352
201,-200.0,200,-117.12312577252672
202,-200.0,200,-115.23364633228752
203,-200.0,200,-139.73077199624754
204,-200.0,200,-102.76700710141321
205,-200.0,200,-120.42058064740654
206,-173.0,173,-84.38666020697997
207,-200.0,200,-110.71528541667944
208,-172.0,172,-79.24262794064977
209,-200.0,200,-93.39949401715347
210,-197.0,197,-135.87034293762875
211,-198.0,198,-110.4379194913787
212,-164.0,164,-80.85762147891268
213,-200.0,200,-90.05779733939492
214,-200.0,200,-111.4712076405576
215,-177.0,177,-102.79913819123226
216,-166.0,166,-80.22130192953195
217,-181.0,181,-86.40590646106835
218,-162.0,162,-82.2265446687643
219,-170.0,170,-86.48536855516744
220,-162.0,162,-93.22528039410635
221,-190.0,190,-96.35559064492489
222,-200.0,200,-103.91579536642304
223,-200.0,200,-103.17052578044684
224,-200.0,200,-82.00882749149504
225,-200.0,200,-124.535044079457
226,-200.0,200,-116.94062648951837
227,-200.0,200,-118.1633947540694
228,-200.0,200,-103.69049447366979
229,-200.0,200,-124.26769263626102
230,-194.0,194,-104.76638657087257
231,-200.0,200,-110.32505959483969
232,-200.0,200,-113.19668829804706
233,-200.0,200,-127.64665033068646
234,-200.0,200,-114.95741316595061
235,-200.0,200,-110.09910366599331
236,-200.0,200,-117.74133830958105
237,-200.0,200,-141.83060961534977
238,-200.0,200,-107.72904111712397
239,-200.0,200,-132.1724461361833
240,-200.0,200,-127.1532249656828
241,-196.0,196,-94.37139858698349
242,-200.0,200,-129.58011190600214
243,-191.0,191,-128.2253686516582
244,-200.0,200,-121.47323310409477
245,-200.0,200,-119.08477771795144
246,-191.0,191,-126.5059148463837
247,-200.0,200,-78.92456602644536
248,-200.0,200,-127.78829529309449
249,-200.0,200,-88.45458780476311
250,-200.0,200,-96.61768656256142
251,-200.0,200,-97.20028286347409
252,-192.0,192,-103.36060971463674
253,-194.0,194,-109.76132757913176
254,-200.0,200,-104.56956043960606
255,-200.0,200,-104.83041373863023
256,-200.0,200,-107.25938706101957
