episode,reward,duration,qstep
0,-200.0,200,-117.42030683809172
1,-200.0,200,-144.05214210203349
2,-200.0,200,-164.67754393622218
3,-200.0,200,-92.02376397133138
4,-200.0,200,-133.23230477214852
5,-200.0,200,-100.7456710297248
6,-200.0,200,-206.10622943465296
7,-200.0,200,-139.31885293886972
8,-200.0,200,-53.22017769711586
9,-200.0,200,-170.95988495459002
10,-200.0,200,-137.11907583515418
11,-200.0,200,-99.1611279769557
12,-200.0,200,-51.77289297509937
13,-200.0,200,-56.81523643651407
14,-200.0,200,-111.04094714914977
15,-200.0,200,-59.92082665421949
16,-200.0,200,-153.132548087864
17,-200.0,200,-110.09126243782967
18,-200.0,200,-117.82103803735167
19,-200.0,200,-108.10070875188427
20,-200.0,200,-143.47854735160624
21,-200.0,200,-86.76241597974388
22,-200.0,200,-142.83080124056104
23,-200.0,200,-106.56518375098706
24,-200.0,200,-161.57654521603226
25,-200.0,200,-66.81567704403948
26,-200.0,200,-16.47457986780303
27,-200.0,200,-67.43394046561306
28,-200.0,200,-63.07665070732843
29,-200.0,200,-140.81855918947275
30,-200.0,200,-170.44939241325812
31,-200.0,200,-213.11834957951734
32,-200.0,200,-18.705914477616787
33,-200.0,200,-147.9222266713057
34,-200.0,200,-73.72561934778656
35,-200.0,200,-35.58398313319306
36,-200.0,200,-114.19529286907387
37,-200.0,200,-197.04679343329485
38,-200.0,200,-13.847854701410938
39,-200.0,200,-11.994035791037973
40,-200.0,200,-144.29833398509876
41,-200.0,200,-129.60664548860314
42,-200.0,200,-134.27668437163493
43,-200.0,200,-122.7901015500131
44,-200.0,200,-141.7419105640247
45,-200.0,200,-103.23995780787409
46,-200.0,200,-139.48076141009187
47,-200.0,200,-8.200679404596286
48,-200.0,200,-78.97401083716804
49,-200.0,200,-77.94651587329743
50,-200.0,200,-136.0181800142958
51,-200.0,200,-35.58198303375642
52,-200.0,200,-11.025054825204542
53,-200.0,200,-88.11001722326549
54,-200.0,200,-84.64436045888796
55,-200.0,200,-101.7593449724561
56,-200.0,200,-84.0030061408538
57,-200.0,200,-56.28254856910762
58,-200.0,200,-161.38618120059326
59,-200.0,200,-108.0117557920023
60,-200.0,200,-177.45130472505318
61,-200.0,200,-139.78637854325996
62,-200.0,200,-108.66770061292821
63,-200.0,200,-116.41205061947964
64,-200.0,200,-67.70147789394944
65,-200.0,200,-69.79860209060652
66,-200.0,200,-7.250746950288622
67,-200.0,200,-103.86815721729312
68,-200.0,200,-67.3019523059961
69,-200.0,200,-101.76517516419904
70,-200.0,200,-31.098736842328258
71,-200.0,200,-157.00646948556343
72,-200.0,200,-67.73590400358619
73,-200.0,200,0.45389363279836203
74,-200.0,200,-48.15582859626801
75,-200.0,200,-25.522930404756437
76,-200.0,200,-112.80544332465664
77,-200.0,200,-143.07711292927968
78,-200.0,200,-24.271408222052695
79,-200.0,200,-128.61630676322073
80,-200.0,200,-115.61705168264805
81,-200.0,200,-2.265784488407945
82,-200.0,200,-94.16959046058975
83,-200.0,200,-112.23963370466511
84,-200.0,200,-19.067572308356247
85,-200.0,200,-15.01223088026724
86,-200.0,200,-97.1020518567914
87,-200.0,200,-10.816818200615032
88,-200.0,200,-18.745045172700415
89,-200.0,200,-124.07794159462576
90,-200.0,200,-21.49854477054973
91,-200.0,200,-81.6413898260007
92,-200.0,200,-58.658242213187805
93,-200.0,200,-167.24952359655413
94,-200.0,200,-43.32613360154414
95,-200.0,200,-110.84574999813688
96,-200.0,200,-13.384694584973097
97,-200.0,200,-12.975773010608194
98,-200.0,200,-95.53996726162008
99,-200.0,200,-120.25761464557232
100,-200.0,200,-8.828085641617577
101,-200.0,200,-147.87430030018484
102,-200.0,200,-62.459328252700914
103,-200.0,200,-166.06006465272543
104,-200.0,200,-50.60949556088495
105,-200.0,200,-134.69600478260483
106,-200.0,200,-1.6198034967994914
107,-200.0,200,-24.964097835910717
108,-200.0,200,-155.4476175929482
109,-200.0,200,-27.615407958057475
110,-200.0,200,-118.26411347064608
111,-200.0,200,-143.28823581970062
112,-200.0,200,-104.35208681561177
113,-200.0,200,-113.42080936291931
114,-200.0,200,-35.1308565017186
115,-200.0,200,-147.77159659408707
116,-200.0,200,-1.6025470350043065
117,-200.0,200,-138.60899266991623
118,-200.0,200,-13.102992970613542
119,-200.0,200,-114.77327214631993
120,-200.0,200,-156.48421283622838
121,-200.0,200,-131.39989261390872
122,-200.0,200,-153.76663553544807
123,-200.0,200,-100.2316532518744
124,-200.0,200,-91.11482854773726
125,-200.0,200,-144.0975482351468
126,-200.0,200,-131.51132161920785
127,-200.0,200,-144.7620498195666
128,-200.0,200,-90.04428231936464
129,-200.0,200,-6.046916093521354
130,-200.0,200,-78.42331559953647
131,-200.0,200,-109.95933988367992
132,-200.0,200,-160.91253116406446
133,-200.0,200,-3.773949979734084
134,-200.0,200,-142.16146650746532
135,-200.0,200,-91.46175217756856
136,-200.0,200,-173.40216989114444
137,-200.0,200,-48.923582809020765
138,-200.0,200,-65.9544591457346
139,-200.0,200,-143.1247290861458
140,-200.0,200,-3.6405941159592317
141,-200.0,200,-6.145936062001077
142,-200.0,200,-161.128435523353
143,-200.0,200,-5.890956626716118
144,-200.0,200,-85.74883437764849
145,-200.0,200,-139.21736326955966
146,-200.0,200,-107.85454538507352
147,-200.0,200,-155.50089556480924
148,-200.0,200,-13.041553907212968
149,-200.0,200,-87.48505517856293
150,-200.0,200,-86.05088129461484
151,-200.0,200,-89.66401748778159
152,-200.0,200,-136.4073900256614
153,-200.0,200,-128.59000688589612
154,-200.0,200,-155.87535363803286
155,-200.0,200,-81.85239190018898
156,-200.0,200,-80.49606048228694
157,-200.0,200,-96.30685030246482
158,-200.0,200,-49.45484726119072
159,-200.0,200,-52.83592400087362
160,-200.0,200,-46.91643287449519
161,-200.0,200,-12.719560342280513
162,-200.0,200,-177.016535129139
163,-200.0,200,-2.090638070578322
164,-200.0,200,-88.62142402741206
165,-200.0,200,-4.129992140881718
166,-200.0,200,-99.32851834865804
167,-200.0,200,-31.10544190561602
168,-200.0,200,-87.35268341911862
169,-200.0,200,-103.32115788102324
170,-200.0,200,-55.580380118849774
171,-200.0,200,-182.2522618998753
172,-200.0,200,-87.28532577150429
173,-200.0,200,-85.87129292599214
174,-200.0,200,-100.55091910858972
175,-200.0,200,-87.05781098078228
176,-200.0,200,-178.35044287692085
177,-200.0,200,-117.27074018135337
178,-200.0,200,-7.338898610087433
179,-200.0,200,-29.32134392810932
180,-200.0,200,-65.23119095925908
181,-200.0,200,-109.2680030546039
182,-200.0,200,-84.24518031524806
183,-200.0,200,-108.12712197046714
184,-200.0,200,-98.96165766213187
185,-200.0,200,-163.828561197132
186,-200.0,200,-25.190028990418934
187,-200.0,200,-40.17143504235352
188,-200.0,200,-3.226848942452051
189,-200.0,200,-93.21666110194205
190,-200.0,200,-79.31883987948007
191,-200.0,200,-3.921220792785981
192,-200.0,200,-18.427922329036097
193,-200.0,200,-1.7676304924958117
194,-200.0,200,-5.605534445560263
195,-200.0,200,-37.498823030324
196,-200.0,200,-18.356434559241706
197,-200.0,200,-97.390045775502
198,-200.0,200,-63.073918039784814
199,-200.0,200,-125.55527920049434
200,-200.0,200,-46.811311468102346
201,-200.0,200,-125.37051278080511
202,-200.0,200,-2.558209103642163
203,-200.0,200,-21.674481050267385
204,-200.0,200,-146.41390918999178
205,-200.0,200,-92.52943631704764
206,-200.0,200,-73.17443641753471
207,-200.0,200,-71.20167611716407
