episode,reward,duration,qstep
105,-200.0,200,-65.87001988083333
106,-166.0,166,-80.31401563168309
107,-200.0,200,-128.84881697395508
108,-200.0,200,-78.87617815825708
109,-200.0,200,-66.33260291257324
110,-200.0,200,-81.97606324735986
111,-200.0,200,-109.39873895586618
112,-161.0,161,-80.22242509025834
113,-200.0,200,-95.60848541372489
114,-200.0,200,-90.65920804661671
115,-200.0,200,-111.73933019347801
116,-200.0,200,-73.96975870581082
117,-200.0,200,-67.54641203446099
118,-170.0,170,-60.11543802111763
119,-200.0,200,-68.83247551179882
120,-157.0,157,-58.604577426414835
121,-195.0,195,-78.01017372349129
122,-200.0,200,-12.572269423287672
123,-200.0,200,-25.17899229564448
124,-200.0,200,-114.18453019613389
125,-200.0,200,-65.47325100372808
126,-200.0,200,-133.48025428075616
127,-200.0,200,-84.30575364015135
128,-169.0,169,-57.967021986421436
129,-200.0,200,-76.87034407135413
130,-200.0,200,-61.14874038353027
131,-200.0,200,-63.29808456612933
132,-200.0,200,-154.27852144708845
133,-200.0,200,-13.964442347971243
134,-200.0,200,-112.89941203457897
135,-200.0,200,-57.99248110962596
136,-200.0,200,-79.96983177317742
137,-200.0,200,-58.92537596342799
138,-200.0,200,-129.0953802398032
139,-200.0,200,-34.522379756375486
140,-198.0,198,-83.97381041999073
141,-200.0,200,-58.08167256259681
142,-200.0,200,-92.69175491076368
143,-198.0,198,-50.763740706700176
144,-170.0,170,-55.816187141887795
145,-200.0,200,-60.005774514170845
146,-195.0,195,-53.42408457396531
147,-200.0,200,-106.70686999905541
148,-200.0,200,-105.14239456208846
149,-200.0,200,-96.22552505637398
150,-198.0,198,-50.82289970771849
151,-200.0,200,-108.00510232451234
152,-200.0,200,-3.3406229342324636
153,-199.0,199,-61.88959374580467
154,-199.0,199,-119.2396309608685
155,-200.0,200,-38.74580447208334
156,-164.0,164,-46.667156083917654
157,-181.0,181,-70.99267523285637
158,-163.0,163,-38.4422038109762
159,-200.0,200,-71.18244122074985
160,-200.0,200,-61.85191294695319
161,-154.0,154,-37.042633451998526
162,-197.0,197,-43.80366196886622
163,-160.0,160,-35.556217414015435
164,-160.0,160,-55.654675412728395
165,-200.0,200,-13.623661770018359
166,-200.0,200,-96.08802000309582
167,-200.0,200,-60.854086897017254
168,-199.0,199,-81.44825154896571
